gender,age,zip,category,amt
0,51,12092,11,1144.6
1,85,45879,8,8.53
1,79,24983,5,261.17
1,23,35131,5,31.32
1,31,49826,1,64.32
0,67,64630,4,156.77
1,52,33404,7,148.35
0,53,58765,0,26.46
0,81,81642,2,64.8
0,62,40336,1,34.11
0,51,92637,1,100.11
1,24,17051,1,5.9
0,37,75703,0,473.53
0,79,53153,8,160.17
0,36,71854,13,9.18
0,37,75662,12,200.75
1,88,44804,5,18.39
1,62,64017,8,2.1
0,27,27837,6,42.25
0,80,57717,11,1148.13
0,58,10970,13,3.34
0,36,39073,6,126.2
1,67,28117,10,90.67
0,50,74131,12,5.74
0,66,79548,12,842.42
0,38,77412,9,9.27
0,58,16034,10,21.18
0,22,46346,1,2.31
0,37,98238,3,37.95
1,32,33710,4,37.09
0,47,37040,6,258.26
0,40,18433,7,39.01
0,69,73754,4,296.45
0,38,44412,11,7.08
0,31,32323,4,99.95
0,23,31632,9,7.93
1,32,33710,2,64.64
0,49,36617,3,64.4
0,33,45307,11,5.84
0,44,70808,12,617.37
0,94,48043,2,60.57
1,35,54559,5,72.37
1,58,67584,5,54.36
0,55,75934,10,83.86
0,65,37165,2,60.25
1,28,73034,2,60.54
0,79,62939,10,5.51
1,26,36111,7,33.15
0,63,36541,6,41.36
1,69,79413,13,8.75
0,26,49628,6,20.88
0,62,40336,4,90.48
0,44,26041,12,59.21
0,21,56668,9,72.15
1,24,29455,6,10.25
0,81,81642,11,6.95
1,59,62424,5,25.28
1,24,29455,2,35.62
1,46,42049,9,39.77
1,25,68117,0,33.59
0,71,68950,5,14.17
0,40,82227,8,1.52
0,33,11955,1,56.12
0,51,35903,7,64.95
0,71,64726,4,123.94
0,40,53129,5,65.34
0,62,25049,7,203.05
1,35,30803,4,257.51
1,35,23303,9,37.9
0,53,74130,1,32.56
0,34,84540,1,19.99
0,46,75218,12,372.61
1,49,39211,1,119.91
0,31,11796,10,92.27
1,58,67584,4,130.34
1,37,21750,11,7.69
0,68,12910,4,334.52
1,52,52576,4,103.31
0,42,66018,10,9.46
1,76,19017,6,176.01
1,67,51453,12,32.49
0,23,30009,2,11.83
0,30,47451,2,50.95
1,56,31003,0,23.27
0,38,44412,3,43.38
1,33,3601,6,97.04
1,23,79252,7,19.52
0,40,26292,2,61.2
1,45,82514,11,105.95
1,69,68463,6,28.02
0,45,79237,2,72.42
0,96,14532,4,304.93
1,53,29209,7,149.5
1,46,64659,4,95.42
1,49,70531,4,98.2
1,66,47434,11,967.03
0,28,67851,12,5.47
1,49,70531,6,80.19
0,56,76857,5,24.4
1,55,63453,8,6.54
1,67,28117,2,12.64
0,28,72042,6,25.28
0,47,7060,4,219.31
0,49,64686,2,68.27
0,50,83646,7,88.04
0,28,72042,7,57.09
0,49,74536,2,58.89
0,57,49879,10,48.65
0,45,20687,10,2.77
1,46,31042,5,71.81
1,45,34668,1,39.9
1,59,11413,11,951.66
0,24,29438,1,146.29
0,45,72011,1,13.59
0,54,78113,11,104.76
0,38,50469,10,20.33
0,87,34112,0,4.09
0,49,49895,11,8.49
1,46,59714,12,2.12
0,33,6024,2,109.01
0,68,43723,11,1115.5
1,42,34112,4,64.39
0,37,28659,11,242.7
0,45,46254,4,228.12
1,59,14711,1,5.82
1,26,46765,2,69.6
1,35,30803,7,43.36
0,80,45342,10,30.97
0,48,15920,0,7.27
1,57,50421,4,105.96
1,46,64659,6,75.03
0,28,43102,3,104.41
0,67,17058,13,4.86
0,82,43160,12,3.9
0,48,95453,11,65.6
0,31,32323,10,76.81
0,60,10280,0,441.28
1,37,27258,8,365.87
1,81,53045,2,6.9
0,71,30426,6,19.69
0,51,35903,13,9.21
0,70,34120,8,835.36
1,64,48088,2,60.98
1,26,36111,5,72.68
0,32,29324,10,23.71
0,32,65072,9,60.3
0,37,98238,6,242.6
1,66,47434,6,84.03
0,39,99323,7,86.69
1,46,4616,0,70.74
0,35,82514,6,42.55
0,49,57374,7,23.59
1,32,28611,12,145.39
0,22,42171,7,127.81
1,51,57732,2,84.26
1,45,54154,8,178.59
0,44,56546,6,125.36
0,63,43330,2,78.33
1,30,24236,1,13.98
1,59,62424,2,79.8
0,49,49895,4,110.27
0,40,25526,3,42.89
1,28,28314,8,690.81
1,75,36344,2,49.96
0,62,90014,8,672.71
0,72,77358,13,7.04
0,35,32784,6,281.59
1,41,62571,9,36.04
1,49,48174,12,9.39
0,33,6024,4,138.22
1,76,74875,4,131.99
1,26,49440,12,716.15
0,40,49101,12,14.61
1,71,33809,10,5.16
1,76,19017,4,318.49
1,42,54418,3,56.27
0,51,7980,7,65.51
0,49,49895,12,1.78
0,73,58579,8,85.42
1,25,40077,3,12.04
0,49,49895,9,9.79
1,55,73134,10,27.12
1,43,59014,7,49.54
1,55,96135,10,37.97
1,27,70726,7,13.8
0,32,29320,7,47.18
1,31,51632,11,8.98
1,66,46702,0,42.64
1,51,15834,6,44.8
0,50,15458,2,11.77
1,34,24340,9,6.13
0,21,85086,4,81.74
1,25,40077,1,8.5
1,35,67232,7,96.21
0,36,33967,11,1.93
0,39,99323,4,195.56
1,49,70531,2,64.94
0,49,36617,7,207.34
0,29,76050,7,36.33
1,45,15557,0,57.74
1,37,40914,6,74.84
0,75,64080,2,7.78
0,37,98238,11,970.12
0,35,33872,5,54.68
0,38,79539,8,9.79
0,31,32323,4,352.73
1,24,67346,3,6.48
1,28,7005,1,1.74
0,94,48043,4,85.1
0,53,44902,10,8.78
1,38,48214,4,69.66
0,53,74130,2,7.73
0,50,51521,2,98.91
1,22,99033,10,14.42
1,59,22853,1,10.68
1,30,67529,4,81.87
1,42,15077,4,92.74
0,70,70732,8,70.03
0,48,6782,11,9.07
0,64,31092,9,1.11
0,54,31305,9,4.02
1,26,46765,9,5.03
1,42,34112,3,64.08
0,34,66941,12,8.68
0,56,38079,11,8.14
0,75,25106,2,77.79
1,39,17088,0,79.39
0,34,66941,9,708.65
1,39,37754,2,75.11
0,47,7060,11,15.32
1,49,35747,1,20.03
1,26,4364,0,13.81
1,23,79252,2,90.22
1,33,46290,1,159.53
1,27,56152,1,63.77
0,92,29170,11,848.89
0,75,79837,0,242.63
0,27,29127,0,51.87
1,75,16421,9,23.31
0,45,46254,1,83.44
0,45,72011,1,39.34
0,36,48438,7,149.94
0,32,44233,9,77.88
0,81,24070,8,114.11
1,47,15217,1,23.19
1,91,40056,10,176.23
0,33,28654,11,37.25
0,61,44265,2,78.87
1,37,11964,10,81.43
0,49,19154,12,744.23
1,45,20895,4,36.87
0,38,77026,0,543.98
1,54,40062,9,9.95
0,53,46143,7,57.69
0,33,16858,2,69.58
0,37,28659,9,47.27
0,44,72476,12,20.24
0,35,73669,6,43.12
0,23,30009,12,1.28
0,58,84325,4,134.39
1,86,39825,5,33.25
0,39,69165,5,66.89
1,48,35811,8,8.19
1,40,7208,3,34.13
1,27,49775,8,850.38
1,63,39665,4,146.01
1,64,52768,7,77.09
0,45,46254,8,13.7
1,37,27258,9,87.05
0,74,39840,11,45.03
0,65,58651,4,106.64
1,22,38761,12,1.56
0,37,75703,4,347.88
0,85,97014,2,75.41
0,58,84325,4,109.59
1,33,87035,11,8.44
0,37,82901,7,68.0
1,54,49613,8,857.62
0,27,37932,12,766.98
1,51,15834,9,7.02
0,34,31605,10,57.62
0,44,72529,11,986.11
1,60,52572,5,25.01
1,29,45801,1,8.88
1,51,44857,10,19.77
0,36,62926,2,54.82
1,28,73034,4,74.13
1,54,96727,1,309.66
0,49,74536,11,1046.53
1,37,21750,7,62.2
1,64,71277,2,73.3
1,43,59014,0,62.35
0,33,85173,3,43.5
1,67,28117,1,98.0
0,60,90403,11,5.58
1,25,78214,1,1.18
0,64,63966,4,296.14
0,40,68859,6,39.77
0,28,64058,3,82.02
0,66,57340,8,6.59
1,26,46765,4,63.27
1,54,68626,4,126.96
0,34,84540,6,30.34
0,47,37040,12,12.45
1,59,62424,6,49.75
0,95,72513,13,6.99
1,30,33844,4,294.89
0,32,44233,7,8.95
0,44,72476,6,17.89
1,46,59714,10,15.42
0,25,2908,4,289.34
0,49,58259,11,8.09
1,64,32935,4,328.53
0,40,82227,2,57.14
1,58,93552,0,18.66
1,47,14778,5,74.75
0,33,85173,10,62.65
0,31,13755,7,133.07
1,53,80021,4,86.14
0,62,14510,8,102.3
0,58,35901,10,59.86
0,44,72529,6,82.54
0,40,26292,12,93.22
0,33,27522,3,82.05
1,57,59542,10,1.83
0,50,55128,12,1386.56
0,46,75218,5,20.11
0,30,96776,12,7.97
1,45,82514,8,80.85
1,43,59014,3,53.92
1,80,74633,1,4.35
0,37,75703,12,55.95
0,69,17327,7,53.65
0,28,29081,2,82.26
0,41,8014,11,9.73
0,80,15665,6,2.78
0,59,76951,2,72.36
0,21,88355,3,52.12
0,50,11710,2,62.42
1,49,87533,6,16.63
0,79,53153,12,7.28
1,18,62668,1,6.92
0,31,58569,3,69.12
1,23,12534,1,7.99
1,67,76240,4,316.64
0,42,49854,2,63.43
0,21,15010,7,61.71
1,21,77566,11,3.94
0,33,49259,6,30.63
0,49,19154,1,101.79
1,61,1330,7,30.54
1,43,59014,6,85.85
1,27,49775,9,45.18
1,73,74074,6,155.54
1,25,40077,5,112.26
1,76,74875,4,146.21
1,17,53228,11,3.07
1,28,33873,9,8.32
1,59,84735,11,1.06
1,33,3601,6,68.33
0,20,38677,8,690.66
0,54,78113,2,52.43
1,44,35049,4,80.43
0,27,48193,11,803.43
0,32,29324,11,976.26
0,23,30009,12,67.04
0,40,49101,12,5.69
0,49,26339,8,18.22
1,58,56068,4,339.45
1,47,17850,5,75.02
0,31,84002,2,66.86
1,55,35764,2,64.33
0,90,41254,12,7.08
1,42,45808,10,21.05
0,67,94971,2,38.6
0,80,57717,13,7.32
1,27,78631,0,86.01
1,57,76366,5,22.35
1,61,74555,2,53.77
0,71,75858,1,36.04
1,40,21619,1,12.59
1,48,20634,9,4.27
0,82,12222,4,75.09
1,28,92267,9,36.54
0,90,67216,9,7.74
0,44,70808,1,21.52
1,42,34112,10,63.55
0,38,50469,7,186.11
0,85,54981,9,3.45
0,58,29180,4,292.57
0,47,7060,6,80.52
0,87,27249,2,11.34
0,26,49628,2,74.56
0,34,79772,12,5.71
0,30,78584,7,72.21
0,33,32725,9,166.28
1,95,41836,11,9.23
0,48,92585,6,25.37
0,69,62266,12,776.09
1,41,48088,11,100.39
0,26,58275,4,106.91
0,22,11217,2,43.45
0,33,52535,5,26.04
1,31,5084,6,96.73
1,55,35764,11,2.66
0,49,36749,7,53.41
0,66,57340,2,54.91
1,56,8323,11,1.52
1,31,42701,10,29.86
0,17,60958,7,21.77
1,38,48214,1,35.14
1,65,61335,11,3.1
0,70,15432,11,3.2
0,43,70774,4,212.24
1,38,58769,6,74.67
1,59,54654,11,1150.49
1,29,79085,4,330.29
0,29,14816,4,89.2
1,48,82711,7,46.11
1,30,54441,7,52.65
1,55,83643,11,367.1
0,48,61454,4,78.13
1,39,74047,4,330.54
1,73,74074,6,73.54
0,22,46346,10,18.94
0,33,45307,7,13.72
1,91,40056,7,108.99
1,49,70531,2,76.39
0,28,67851,4,232.75
1,36,81649,4,307.58
0,44,70808,11,10.29
1,37,76008,11,5.09
1,30,31630,0,80.16
0,40,82227,2,53.37
0,40,82227,5,13.88
1,30,54441,11,96.5
0,73,58579,4,162.79
0,33,52535,8,51.09
0,38,79539,2,76.83
1,36,63010,11,9.18
0,34,79772,0,453.96
1,35,60091,0,49.26
1,24,4287,2,75.65
1,34,32780,5,13.47
1,21,72165,10,90.13
0,36,94558,5,122.99
1,37,11964,2,11.88
0,28,71291,12,802.95
0,67,72047,1,120.75
1,52,21913,2,46.8
1,55,44223,5,33.33
0,36,23937,6,9.05
1,44,55403,0,269.89
1,70,22015,6,1.66
1,47,94619,6,35.02
0,33,45307,10,48.47
1,79,24983,9,9.86
0,37,75703,6,80.68
0,90,74108,12,890.31
0,31,84002,11,103.02
1,30,8350,6,84.2
0,34,31605,3,41.55
0,35,73669,9,65.94
0,56,6441,4,294.56
0,51,7980,6,75.23
1,65,28372,7,61.39
1,31,51632,0,37.23
0,84,97375,2,62.26
0,95,31563,7,25.07
1,28,73034,9,188.29
0,54,96103,5,71.21
1,36,53924,12,140.16
0,36,73027,6,13.36
0,50,11710,3,101.56
1,53,26237,2,67.53
1,49,70531,1,54.92
1,42,35776,6,175.1
0,79,53153,5,1.14
1,47,90650,5,73.03
0,49,49895,2,72.71
1,59,14711,2,59.8
1,47,50073,11,937.55
1,27,61272,4,92.29
1,62,92128,6,101.29
1,46,64659,13,454.27
1,26,48706,12,6.4
1,47,15217,12,2.97
0,42,33811,11,3.93
0,30,47451,4,122.13
1,22,38761,12,7.35
1,67,51453,2,63.59
1,66,92210,4,287.08
0,61,61830,11,6.24
1,66,46702,1,142.12
0,44,56546,6,21.48
0,86,29661,1,33.05
0,34,66941,2,36.35
0,36,73027,9,305.51
1,32,16362,5,76.57
0,53,33909,10,157.79
0,68,12910,2,77.43
1,21,72165,3,31.62
1,37,11964,7,44.87
0,69,40202,7,115.56
1,32,33710,2,60.48
1,32,35022,2,58.82
0,59,27807,10,20.94
0,43,99160,2,52.61
0,33,6024,5,10.03
1,26,36111,0,51.41
0,45,46254,8,88.16
1,51,24927,9,5.58
0,58,72341,5,2.33
0,55,25442,6,222.66
0,55,25442,6,2.54
1,52,72354,5,52.69
0,40,53129,0,77.66
0,71,68950,9,8.81
1,23,12534,9,3.99
0,59,27807,9,206.88
1,39,91206,4,50.61
1,47,29436,5,77.47
0,85,20882,2,83.07
0,74,39840,12,6.5
0,87,27249,7,127.27
1,45,48850,7,106.37
1,27,13811,0,90.9
0,40,49101,7,8.93
0,50,51521,7,13.65
1,65,4047,10,82.54
0,53,44902,2,90.83
0,90,67216,13,8.4
1,75,89319,7,1.43
1,44,35049,10,15.15
1,58,12508,2,10.86
0,35,32784,7,64.28
1,32,35022,7,86.05
1,24,17051,0,12.82
0,28,43102,1,11.44
1,65,4047,6,17.53
1,32,16362,4,93.69
1,53,68403,2,70.73
0,46,29911,1,65.41
1,41,21790,6,88.43
0,92,29170,7,100.57
0,51,79759,8,4.83
0,43,99160,2,58.99
0,44,70808,6,48.19
0,56,6441,3,61.93
1,51,77971,11,844.57
0,31,32323,2,66.24
1,37,11964,4,77.85
0,44,72529,10,21.03
1,24,67346,8,776.24
1,66,46702,10,18.22
1,54,40062,5,71.38
1,27,61272,10,72.12
0,51,35903,10,13.38
1,41,35229,4,38.56
0,59,76834,0,12.23
0,36,48438,10,76.06
1,75,53186,7,68.1
1,42,95827,11,1002.17
1,30,53120,5,28.14
1,68,76443,13,2.12
1,54,48221,4,298.33
0,39,99323,13,1.12
1,60,62888,5,18.22
0,52,67545,4,294.5
1,30,67529,4,93.78
0,47,28073,0,80.58
0,36,23937,10,27.07
1,28,33873,1,31.72
1,17,53228,2,29.33
0,22,18103,7,9.74
0,50,36758,10,9.91
1,47,29436,13,8.62
1,59,16878,1,151.04
1,76,19017,9,4.69
0,45,46254,11,730.39
1,42,34112,9,5.35
0,28,64058,1,9.51
1,24,89512,8,43.29
1,70,22015,4,97.23
0,39,99323,5,22.1
1,32,59710,11,96.42
1,43,53061,5,51.01
0,38,77412,4,325.1
1,57,76366,4,131.95
0,60,38315,11,19.14
0,38,77026,1,3.0
1,68,67635,7,34.11
1,47,90650,8,2.2
0,27,37932,5,50.76
1,64,63829,1,17.89
1,16,43321,0,70.93
1,68,76443,1,34.28
1,34,33040,6,35.98
1,56,28901,10,27.76
1,67,43760,4,138.17
1,24,89512,4,56.35
1,44,16034,4,107.53
0,39,99323,13,2.43
0,49,56548,2,42.41
1,49,12460,1,48.81
1,49,39211,6,24.59
0,44,23850,3,70.93
1,39,31567,12,129.58
0,60,90403,6,22.65
1,35,23303,7,51.83
1,88,44804,8,4.43
1,37,40914,4,100.8
1,28,28314,6,43.98
0,70,95528,11,9.08
1,55,99746,7,31.63
0,42,87117,0,140.27
0,50,73564,4,78.81
1,42,34112,0,78.34
0,32,29324,0,39.46
0,63,10162,10,24.44
1,47,94619,0,4.57
0,75,15449,1,5.05
0,55,72959,2,94.08
0,20,38677,6,38.65
0,44,72476,4,189.32
0,54,40170,0,118.96
1,41,48088,10,7.73
1,48,16314,2,84.63
1,64,48088,13,6.91
0,90,67216,7,37.17
1,76,69201,4,316.92
1,22,99033,2,73.98
0,34,35554,7,14.12
1,60,62888,12,5.27
0,57,2630,11,1111.54
0,36,71854,1,12.18
0,48,82221,7,46.59
1,55,71960,6,25.78
0,50,75092,7,11.38
1,63,39572,4,293.48
0,40,68859,5,50.51
1,43,53061,11,974.78
1,41,65680,9,37.42
0,30,47451,10,87.63
0,31,11796,5,128.87
1,23,12534,8,9.92
1,35,24433,9,41.13
0,49,59448,12,1.75
0,50,75092,2,97.91
0,33,49259,0,176.95
1,40,82936,4,312.3
1,35,60091,6,29.1
1,30,8350,0,78.3
1,25,40077,2,48.09
1,37,40914,6,80.04
0,59,40209,4,306.72
0,30,13647,4,105.52
0,68,46946,2,91.84
0,61,41810,11,11.72
1,31,5084,9,30.89
0,88,20776,7,57.75
1,44,35049,2,108.33
0,57,71232,4,298.98
0,44,26041,4,184.38
1,30,54441,12,125.28
1,33,46290,13,9.14
1,27,49775,8,68.01
0,36,64874,12,5.85
1,34,95629,3,49.2
0,71,68950,2,86.54
0,49,59448,7,54.03
1,67,28117,1,251.11
1,66,46702,0,58.1
0,39,85020,10,47.14
1,25,40077,12,136.09
0,71,75858,7,181.61
1,61,48371,11,997.62
0,49,57036,10,8.18
0,33,6024,0,28.95
0,53,74130,12,4.67
1,63,39665,5,82.82
0,54,78113,1,5.37
0,67,94971,1,110.16
0,58,29180,2,9.6
0,23,16114,10,17.0
1,35,60091,1,24.43
0,30,13647,4,112.6
1,81,99783,2,58.01
0,69,62266,0,16.83
1,59,6444,6,2.87
0,44,72476,1,128.17
1,41,62571,4,110.1
0,30,78584,8,136.94
1,43,53061,4,57.68
0,44,70808,10,2.82
1,42,15077,4,299.32
1,44,55403,1,3.21
0,55,39157,3,95.12
0,38,28405,10,18.92
0,55,72959,4,90.7
1,23,12534,6,8.39
1,75,53186,12,3.84
1,23,15686,2,87.4
1,58,50595,4,69.64
0,47,1257,5,2.94
1,27,49775,7,53.43
1,56,48154,12,2.26
0,23,31632,0,10.71
0,58,62023,11,901.83
1,59,22853,1,157.15
1,54,49613,2,84.36
1,77,30756,2,49.91
1,39,91206,7,23.14
1,58,31561,9,49.9
1,50,14733,7,44.37
1,59,6444,6,12.72
0,54,33620,13,4.5
0,28,74720,11,904.86
0,36,48438,3,65.13
1,27,13811,3,24.53
1,55,96135,2,37.53
1,56,21865,2,18.55
1,80,70062,5,12.12
1,76,74875,12,9.61
1,93,68641,1,54.32
1,68,76443,4,135.09
1,66,46702,2,58.93
0,70,70732,4,151.95
0,46,80120,9,352.38
1,28,33873,3,19.35
1,24,17051,4,50.06
1,48,16858,8,3.27
1,32,16362,7,50.66
1,55,63453,4,134.06
1,65,16214,4,328.99
0,57,31547,6,19.73
0,75,13342,1,83.27
0,51,7980,13,8.04
0,50,51521,2,56.88
0,41,8014,2,52.94
1,67,51453,10,47.32
0,74,39840,4,81.89
0,23,31632,2,46.69
1,63,39665,4,321.38
0,30,13367,4,248.06
1,73,3753,4,273.06
1,55,63453,0,19.26
1,22,99033,12,1371.81
1,49,39211,11,3.56
1,24,29455,1,9.16
0,64,44483,4,303.8
0,48,95453,0,174.35
1,22,38761,10,234.43
0,61,41810,2,61.2
0,71,30426,10,3.43
0,22,42171,3,23.37
1,37,27258,9,9.84
0,58,21658,9,9.69
1,40,7208,0,3.95
0,31,11796,4,234.38
1,46,48034,10,51.44
0,90,75661,12,9.56
0,67,72047,10,77.96
0,17,60958,11,21.24
1,46,31042,4,105.05
1,21,77566,1,33.95
0,67,16048,8,8.95
1,47,15217,13,9.95
1,51,57732,1,50.51
0,34,31605,5,132.95
0,36,48438,2,65.35
0,37,28659,11,1411.28
0,27,7439,5,88.24
1,57,10504,11,25.49
0,58,84325,10,195.67
1,45,20895,6,93.73
0,45,79237,3,37.03
0,42,66018,12,158.91
1,51,24927,1,21.04
1,86,55001,10,33.46
1,43,37132,9,4.78
0,91,58531,2,68.27
1,66,49632,10,28.78
1,75,43985,8,33.05
1,29,45801,13,1.17
0,42,33811,4,214.91
0,95,72513,4,318.34
1,49,48174,5,89.39
0,48,61454,11,5.33
0,92,63336,2,57.76
0,28,72042,4,198.62
0,23,5461,5,105.31
1,31,84532,3,25.73
1,42,15077,3,53.6
0,40,68859,12,2.54
0,21,56668,3,13.83
0,30,78584,12,166.8
1,21,3818,6,12.56
0,45,46254,3,76.04
0,45,87109,3,66.39
0,69,17327,2,47.76
0,50,91321,8,16.13
1,49,35747,2,54.52
1,42,34112,7,344.68
0,36,71854,4,162.24
0,37,98238,11,6.42
0,36,19149,12,403.89
0,32,44233,9,12.41
1,42,45698,0,74.93
0,54,96103,0,55.63
0,70,63565,13,2.42
0,74,39840,4,337.74
0,47,1257,2,64.6
0,58,84325,11,220.87
0,58,35901,1,68.39
1,48,16314,0,6.59
0,60,90403,12,4.28
1,41,25213,11,4.39
1,29,45801,2,82.29
0,39,85020,6,128.9
0,36,64874,12,1.78
1,70,70466,4,272.83
1,70,70466,0,2.58
0,49,57374,12,6.99
1,48,35811,8,893.18
1,63,4210,0,163.52
1,74,22824,8,905.31
1,37,38922,6,64.88
1,55,73134,12,4.94
1,18,62668,11,1119.78
0,48,92585,7,59.81
0,49,26339,4,99.35
1,39,66020,7,45.52
1,54,88325,9,50.26
0,30,12419,2,49.31
0,28,29081,10,1.31
1,58,67584,4,138.43
1,25,78214,10,39.31
1,30,8350,9,34.93
0,46,29911,11,1167.06
1,54,83120,4,147.32
1,53,29209,0,5.77
1,46,59714,6,16.48
0,50,3816,2,72.68
1,48,35811,7,142.5
0,24,41812,8,108.72
0,39,69165,2,63.87
1,52,52576,8,763.4
0,37,28659,12,2.84
1,25,77038,4,286.44
1,93,93529,13,6.51
0,36,73027,2,100.72
0,25,68375,2,9.21
0,28,64058,2,94.59
1,39,37754,0,118.52
1,47,45051,1,54.98
0,55,75934,12,2.5
1,27,78631,10,71.61
1,41,35229,4,84.91
1,31,84532,2,72.6
1,24,17051,2,46.89
0,71,68950,11,928.15
0,50,55128,7,120.81
1,36,75048,1,6.39
1,47,50073,9,38.39
0,86,7711,11,2.52
1,48,16858,9,3.45
0,34,17060,6,7.04
1,35,24433,4,116.88
0,24,95148,12,5.66
1,37,21750,2,64.09
0,55,56592,0,15.62
0,36,19007,13,2.11
0,48,82221,12,3.99
0,37,98238,5,2.85
1,73,3774,12,18.23
1,47,14778,12,153.33
1,48,79906,12,1.19
1,77,56019,7,44.86
1,21,3818,2,81.53
0,29,14816,2,67.34
0,29,76050,11,1.77
0,38,50469,0,533.58
0,61,10548,2,15.63
0,75,13342,9,1.93
0,79,53153,11,7.31
1,69,68463,2,81.08
0,54,33620,13,1.01
1,72,13425,2,62.29
1,68,67635,6,14.76
1,70,22151,4,71.48
1,51,15834,9,4.27
1,44,10604,11,6.35
1,45,20895,11,8.39
0,55,97452,12,1.92
1,66,46702,2,43.7
1,73,3753,8,344.27
0,67,72047,12,28.25
1,31,84532,9,166.49
0,36,33967,5,18.59
0,37,75662,7,82.46
0,44,70808,4,231.23
1,34,33040,7,136.85
0,54,31305,1,50.63
0,49,26339,6,272.09
0,33,28654,11,510.91
1,41,48088,11,942.86
0,61,13316,4,63.99
1,39,74047,2,50.19
1,37,27258,4,65.33
0,28,72042,3,51.53
1,30,37302,3,80.46
0,16,66618,8,2.9
1,26,46765,12,8.48
0,42,63867,6,168.3
1,26,46765,6,37.3
1,33,81005,7,21.31
1,39,37754,2,83.28
1,28,7747,11,5.98
0,35,72583,10,56.27
0,51,57426,0,63.46
0,46,5733,11,99.62
0,35,82514,9,78.52
1,62,53803,7,97.24
0,51,92637,11,2.49
0,29,94015,13,4.6
0,36,33967,8,221.16
1,55,96135,11,1099.48
1,36,75048,13,1.36
0,48,16329,9,6.82
0,69,70003,1,40.13
1,48,93627,4,91.84
1,49,87533,13,4.91
1,33,87035,2,56.99
0,28,84003,12,777.48
1,55,83643,0,217.93
0,36,77007,9,210.86
1,26,49440,9,292.11
0,22,42171,2,51.01
0,36,64874,4,100.96
0,53,46143,8,766.14
0,32,96136,4,135.41
0,28,64058,9,246.8
0,50,11710,1,45.44
0,47,7060,12,53.04
1,83,72524,6,31.3
1,74,48206,4,114.57
1,59,11413,13,7.89
0,65,37165,2,58.16
0,75,15449,2,60.59
1,61,1330,11,51.31
1,50,14733,6,237.05
1,31,84532,0,31.07
1,57,13484,4,86.5
0,75,15449,0,3.68
1,39,37754,0,37.58
0,88,20776,4,149.47
1,30,5486,1,62.02
0,59,87543,0,7.46
1,79,97033,1,33.94
1,47,94619,9,1.03
1,64,48088,4,96.45
1,27,56152,9,27.71
1,16,43321,8,102.17
0,44,26041,1,12.17
1,63,39665,7,65.66
1,75,43985,8,4.96
0,35,82514,2,65.25
1,39,66020,4,312.6
0,45,87109,8,203.62
1,65,80824,2,62.62
0,62,14510,4,113.17
0,56,54896,2,46.98
0,71,29061,0,7.15
1,46,64659,11,88.38
1,37,11964,0,77.55
0,61,33417,6,52.69
